ID,Original Hook,Original Tone,Tone v2,Fit for Chị Hiền,Stage,Calendar Stage Match,Best Format,Hook Type,Risk,Adapt Direction,Chị Hiền Hook,Use Case,Note
H001,"Mình không bán [sản phẩm], mình bán phiên bản mới của bạn.",Insightful,Insightful,HOLD,Sau 30 bài / Sales phase,Sau 30 bài,Educational / Sau 30 bài,Sales / Offer hook,Quá marketing/sales sớm,Giữ lại dùng sau; bỏ yếu tố bán hàng + placeholder khi cần,Dùng sau 30 bài: cần adapt theo offer thật và voice chị Hiền.,Giai đoạn business/content/sales sau 30 bài,Chưa dùng trong 30 bài đầu. Sales hook hoặc placeholder offer.
H002,Bạn có chắc mình muốn sống như thế này thêm 1 năm?,Reflective,Reflective,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có chắc mình muốn sống như thế này thêm 1 năm?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H003,Bạn đang làm việc hay đang né đối diện với chính mình?,Confrontational,Confrontational,ADAPT,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn đang làm việc hay đang né đối diện với chính mình?,"Bình yên, kiệt sức, ranh giới cảm xúc",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H004,Cuộc đời bạn sẽ trông sao nếu dám sống đúng mong muốn?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Cuộc đời bạn sẽ trông sao nếu dám sống đúng mong muốn?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H005,"Bạn không lười, bạn chỉ chưa tin mình xứng đáng hơn.",Inspirational,Inspirational,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn không lười, bạn chỉ chưa tin mình xứng đáng hơn.","Bình yên, kiệt sức, ranh giới cảm xúc","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H006,"Người ta không mua [sản phẩm], họ mua cảm giác trở thành [phiên bản].",Insightful,Insightful,HOLD,Sau 30 bài / Sales phase,Sau 30 bài,Educational / Sau 30 bài,Sales / Offer hook,Quá marketing/sales sớm,Giữ lại dùng sau; bỏ yếu tố bán hàng + placeholder khi cần,Dùng sau 30 bài: cần adapt theo offer thật và voice chị Hiền.,Giai đoạn business/content/sales sau 30 bài,Chưa dùng trong 30 bài đầu. Sales hook hoặc placeholder offer.
H007,"Nếu bạn tin mình đủ giỏi, bạn dám làm gì ngay hôm nay?",Reflective,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Nếu bạn tin mình đủ giỏi, bạn dám làm gì ngay hôm nay?","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H008,Bạn đã bao lần nói 'để mai' với chính cuộc đời mình?,Confrontational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn đã bao lần nói 'để mai' với chính cuộc đời mình?,"Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H009,Bạn đang bảo vệ vùng an toàn hay tương lai của mình?,Gentle,Gentle,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn đang bảo vệ vùng an toàn hay tương lai của mình?,"Bình yên, kiệt sức, ranh giới cảm xúc","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H010,Phiên bản bạn 5 năm nữa có tự hào về hôm nay?,Inspirational,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Phiên bản bạn 5 năm nữa có tự hào về hôm nay?,"Giá trị bản thân, bản sắc, thay đổi","Có thể dùng gần nguyên, vẫn cần bám insight thật."
